Removed Pin From Net: NetName=GND Pin=BT-NEG
Removed Pin From Net: NetName=VBat Pin=C4-1
Removed Pin From Net: NetName=Vcc Pin=D1-2
Removed Pin From Net: NetName=VBat Pin=D4-1
Removed Pin From Net: NetName=6V Pin=D4-2
Removed Pin From Net: NetName=Vcc Pin=IC1-2
Removed Pin From Net: NetName=6V Pin=IC2-2
Removed Pin From Net: NetName=VBat Pin=IC7-2
Removed Pin From Net: NetName=VBat Pin=IC9-1
Removed Pin From Net: NetName=VBat Pin=IC9-3
Removed Pin From Net: NetName=GND Pin=R11-1
Removed Pin From Net: NetName=GND Pin=R30-1
Removed Pin From Net: NetName=GPIO35 Pin=R30-2
Removed Pin From Net: NetName=GND Pin=U2-26
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=D1
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=IC1
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=R1
Removed Member From Class: ClassName=Fuente switching tipo Buck (6V) Member=R30
Change Component Footprint: Designator=R2 Old Footprint=RES 0603_1608 New Footprint=YAGEO RES 0402_1005
Change Component Comment : Designator=R2 Old Comment=100 kOhms New Comment=82 kOhms
Change component parameters: Designator = "R2" ("R2"); Footprint = "RES 0603_1608"; UniqueID = "\LCOJHROF\SFBYIYWT\INENVMGU" ("\LCOJHROF\SFBYIYWT\INENVMGU")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/yageo/RC0402FR-0782KL/726665"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.016" (0.40mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "31/8/2025 15:04:18"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0402 (1005 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "CutTape"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RC0402FR-0782KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "2509"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (Watts)"; Value = "0.063W, 1/16W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "82 kOhms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "RC_L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.039" L x 0.020" W (1.00mm x 0.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
