Altium Designer Pick and Place Locations
D:\nettra\RTU-B2_HW\PCB\Project Outputs for RTU_B2\Pick Place\Pick Place for RTU_B2_PCB.csv

========================================================================================================================
File Design Information:

Date:       12/10/25
Time:       16:23
Revision:   d65e3a96c1831e0f5e6259519de516e39d987c79
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C41","0.1 µF","TopLayer","CAP_0402_1005","28.2191mm","12.3312mm","180","CAP CER 0.1UF 50V X5R 0402"
"C40","0.1 µF","TopLayer","CAP_0402_1005","17.9961mm","4.2184mm","180","CAP CER 0.1UF 50V X5R 0402"
"J7","68001-203HLF","TopLayer","AMPHENOL_68001-203HLF","10.0223mm","40.7847mm","90","BergStik<sup>&reg;</sup>, Board to Board connector, Unshrouded vertical header, Through Hole, Single Row, , 3 Positions, 2.54 mm (0.100in) Pitch."
"R12","100 kOhms","TopLayer","RES_0603_1608","2.9707mm","98.9030mm","0","RES 100K OHM 0.1% 1/16W 0603"
"B3","FDS6679AZ","TopLayer","SOIC127P600X175-8N","7.4145mm","96.1433mm","270","Max rDS(on) = 14.8m at VGS = -4.5V, ID = -11A; HBM ESD protection level of 6kV typical (note 3); High power and current handing capability; Extended VGS range (-25V) for battery applications; High performance trench technology for extremely lowrDS(on); High power and current handing capability; Max rDS(on) = 9.3mat VGS = -10V, ID = -13A"
"J3","HC-XHD-2x4A","TopLayer","HC-XHD-2x4A","90.2500mm","68.7500mm","270","Conector pin header macho con paredes, 2 filas, 8 pos, 2.5 mm paso"
"U4","BG95M3LA-64-SGNS","TopLayer","BG95M3LA-64-SGNS","63.9700mm","88.5746mm","270","Quectel BG95 Series LTE Cat M1/ Cat NB2/ EGPRS Module"
"J2","3220-10-0100-00","TopLayer","322010010000","16.2898mm","70.4221mm","180","Connector Header Through Hole 10 position Shrouded 4 wall 0.050" (1.27mm)"
"C39","0.1 µF","TopLayer","CAP_0402_1005","17.9802mm","99.1393mm","270","CAP CER 0.1UF 50V X5R 0402"
"C38","1 µF","TopLayer","CAP_0402_1005","20.9749mm","54.0619mm","0","CAP CER 1UF 16V X5R 0402"
"IC1","BQ25186DLHR","TopLayer","SON40P220X200X80-11N","42.7808mm","36.8026mm","0","BQ25186 1-Cell, 1A I2C Linear Battery Charger with Power Path, Ship Mode, Shutdown Mode, and Battery Tracking VINDPM"
"C37","100 µF","TopLayer","CAP_ALSMD_POLY_8.3MM_H10.5MM","73.5700mm","8.8700mm","270","CAP ALUM HYBRD 100UF 20% 35V SMD"
"C36","22 µF","TopLayer","CAP_0603_1608","23.6291mm","37.4057mm","180","CAP CER 22UF 10V X5R 0603"
"C33","1µF","TopLayer","CAP_0603_1608","65.9020mm","16.4808mm","90","CAP CER 1UF 50V X5R 0603"
"U8","TPS61088RHLR","TopLayer","IC_TPS61088RHLR","20.0798mm","50.9306mm","90",""
"U7","LM2596DSADJG","TopLayer","CONV_LM2596DSADJG","59.6100mm","11.5325mm","270","LM2596DSADJG Switching Regulator 3A Adjustable, 1.23 to 37 V, 5-Pin D2PAK"
"TP_VBTY_CH1","RCWCTE","TopLayer","RCWCTE","41.9193mm","42.8942mm","90","- PC Test Point - - Plating Surface Mount Mounting Type"
"TP_GND1","RCWCTE","TopLayer","RCWCTE","32.0003mm","49.9101mm","180","- PC Test Point - - Plating Surface Mount Mounting Type"
"R11","82 kOhms","TopLayer","YAGEO_RES_0402_1005","14.6214mm","59.6041mm","0","RES 82K OHM 1% 1/16W 0402"
"R2","56 kOhms","TopLayer","YAGEO_RES_0402_1005","17.0993mm","59.6041mm","0","RES 56K OHM 1% 1/16W 0402"
"R40","75 kOhms","TopLayer","RES_0603_1608","17.7045mm","54.8911mm","270","RES 75K OHM 0.1% 1/16W 0603"
"R39","100 kOhms","TopLayer","RES_0603_1608","15.2197mm","54.0119mm","0","RES 100K OHM 0.1% 1/16W 0603"
"R38","100 kOhms","TopLayer","RES_0603_1608","14.9995mm","57.2299mm","0","RES 100K OHM 0.1% 1/16W 0603"
