Altium Designer Pick and Place Locations
D:\nettra\RTU-LMG_HW\PCB\Project Outputs for RTU_LMG\Pick Place\Pick Place for RTU_LMG_PCB.csv

========================================================================================================================
File Design Information:

Date:       05/01/26
Time:       21:10
Revision:   528b6ad31328d7b29593fb0fb6693ddd82b45a66
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J5","OSTTC022162","TopLayer","OSTTC022162","91.0401mm","41.9010mm","90","Bornera de 2 pos - paso 5.08 mm"
"J6","OSTTC022162","TopLayer","OSTTC022162","92.1338mm","7.5223mm","270","Bornera de 2 pos - paso 5.08 mm"
"LED2","LTST-C170GKT","TopLayer","0805_SMD_-_LED","22.4588mm","37.2030mm","90","LED verde SMD (0805)"
"K4","APC-817B1-SL","TopLayer","APC-817xx-SL_AMB","79.7351mm","20.7180mm","90","Description"
"L2","SRP1265A-470M","TopLayer","IND_SRP1265A-470M","8.0513mm","29.9891mm","180","Inductor,Shielded Power,AEC-Q200,47uH 20% SMT 1265"
"R11","82 kOhms","TopLayer","YAGEO_RES_0402_1005","2.0469mm","41.6696mm","90","RES 82K OHM 1% 1/16W 0402"
"R2","56 kOhms","TopLayer","YAGEO_RES_0402_1005","1.8083mm","49.7484mm","90","RES 56K OHM 1% 1/16W 0402"
"U8","B39162B8813P810","TopLayer","FIL_B39162B9417K610","91.5988mm","62.1963mm","180","SAW Filter RF 1582.47MHz 1.9dB 50Ohm SMD 5 Pin SMT"
"U6","MAX2659ELTT","TopLayer","SON50P150X100X80-6N","84.7771mm","61.2957mm","90","GPS/GNSS Low-Noise Amplifier"
"U5","TJA1051T/3/1J","TopLayer","SO8_SOT96-1_NXP","42.2572mm","15.4218mm","270","Description"
"TP_PWRKEY","RCWCTE","TopLayer","RCWCTE","68.2131mm","83.4118mm","180","- PC Test Point - - Plating Surface Mount Mounting Type"
"TP_LTX1","RCWCTE","TopLayer","RCWCTE","1.8883mm","56.7127mm","90","- PC Test Point - - Plating Surface Mount Mounting Type"
"TP_LRX1","RCWCTE","TopLayer","RCWCTE","3.6067mm","53.3000mm","180","- PC Test Point - - Plating Surface Mount Mounting Type"
"TP_GND1","RCWCTE","TopLayer","RCWCTE","65.3100mm","46.0558mm","180","- PC Test Point - - Plating Surface Mount Mounting Type"
"TP_3V8","RCWCTE","TopLayer","RCWCTE","84.5054mm","49.4385mm","180","- PC Test Point - - Plating Surface Mount Mounting Type"
"S2","219-2MSTR","TopLayer","SW_219-2MSTR","21.6890mm","72.8975mm","90","Dip Switch SPST 2 Position Surface Mount Slide (Standard) Actuator 100mA 20VDC"
"R29","10 kOhms","TopLayer","RES_0603_1608","75.9040mm","13.8920mm","90","RES 10K OHM 1% 1/10W 0603"
"R28","1 kOhms","TopLayer","RES_0402_1005","70.9865mm","14.2330mm","0","RES SMD 1K OHM 0.1% 1/16W 0402"
"R27","10 kOhms","TopLayer","RES_0603_1608","75.9040mm","8.4923mm","270","RES 10K OHM 1% 1/10W 0603"
"R26","1 kOhms","TopLayer","RES_0402_1005","53.9418mm","31.9894mm","270","RES SMD 1K OHM 0.1% 1/16W 0402"
"R25","6.8 kOhms","TopLayer","RES_0603_1608","84.5054mm","34.2848mm","270","RES 6.8K OHM 5% 1/10W 0603"
"R24","6.8 kOhms","TopLayer","RES_0603_1608","92.3025mm","48.9210mm","180","RES 6.8K OHM 5% 1/10W 0603"
"R23","10 kOhms","TopLayer","RES_0603_1608","56.3323mm","32.0100mm","0","RES 10K OHM 1% 1/10W 0603"
"R19","10 kOhms","TopLayer","RES_0603_1608","9.6958mm","59.5952mm","270","RES 10K OHM 1% 1/10W 0603"
"R18","10 kOhms","TopLayer","RES_0603_1608","12.5905mm","64.6786mm","180","RES 10K OHM 1% 1/10W 0603"
"R17","63.4 Ohms","TopLayer","RES_0805_2012","33.7019mm","7.3804mm","90","RES SMD 63.4 OHM 1% 1/8W 0805"
"R16","63.4 Ohms","TopLayer","RES_0805_2012","49.2486mm","7.2939mm","270","RES SMD 63.4 OHM 1% 1/8W 0805"
"R15","10 kOhms","TopLayer","RES_0603_1608","58.0694mm","30.1930mm","0","RES 10K OHM 1% 1/10W 0603"
"R9","75 Ohms","TopLayer","RES_0402_1005","21.1451mm","34.6683mm","0","RES 75 OHM 1% 1/16W 0402"
"R6","100 kOhms","TopLayer","RES_0603_1608","84.4538mm","43.6644mm","90","RES 100K OHM 0.1% 1/16W 0603"
"Q3","IRL540NSTRLPBF","TopLayer","NMOSGSD_D2PAK_IRL540NSTRLPBF_INF","66.8479mm","20.8269mm","90","Description"
"Q2","IRL540NSTRLPBF","TopLayer","NMOSGSD_D2PAK_IRL540NSTRLPBF_INF","67.0250mm","8.4923mm","90","Description"
"L1","6.8 nH","TopLayer","INDC1005X55N","87.0262mm","61.8905mm","180","FIXED IND 6.8NH 600MA 0.24OHM SM"
"K3","APC-817B1-SL","TopLayer","APC-817xx-SL_AMB","81.0051mm","8.4923mm","270","Description"
"K2","APC-817B1-SL","TopLayer","APC-817xx-SL_AMB","77.9412mm","30.1932mm","180","Description"
"K1","APC-817B1-SL","TopLayer","APC-817xx-SL_AMB","65.6136mm","30.1932mm","180","Description"
"J9","OSTTC022162","TopLayer","OSTTC022162","41.4886mm","3.3546mm","180","Bornera de 2 pos - paso 5.08 mm"
"J4","ON-OFF","TopLayer","AMPHENOL_68001-203HLF","43.1133mm","32.0223mm","0","Board to Board connector, Unshrouded vertical header, Through Hole, Single Row, , 3 Positions, 2.54 mm (0.100in) Pitch."
"J3","PPPC031LFBN-RC","TopLayer","PPPC031LFBN-RC","4.3458mm","60.4927mm","270","Connector"
"IC5","2N7002K","TopLayer","SOT23","12.5553mm","61.3474mm","0","MOSFET N-CH 60V 300MA SOT23"
